"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; C = comic strip",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
908,11,0,"OT","0",0,0,"Word ProcGSdIitg"
909,11,0,"OT","0",0,0,"' ACADEMIC"
910,11,0,"OT","0",0,0,"LASER.SPELL-CHECKED, PROMPT. SENIOR PROJECTS,RESUMES,ETC. MARCY541-4214"
911,11,0,"OT","0",0,0,"PAPER CHASE WORD PROCESSING 6 YRS EXP CALL KAREN 544-2692"
912,11,0,"OT","0",0,0,"Resumes, Sr. Projects, Etc. Macw/ Laser Printer. Laura -- 549-8966"
913,11,0,"OT","0",0,0,"TERM PAPERS Loc. o i S. Higuera Near Los Osos Vly Rd 546-0867"
914,11,0,"OT","0",0,0,"Employment"
915,11,0,"OT","0",0,0,"Management Internships Now available with CALIFORNIA UNIVERSITY PAINTERS. Highest earnings potential and largest territories. For Application & Information CALL (800)400-9332"
916,11,0,"OT","0",0,0,"SUMMER MGMT.INTERNSHIP INTERVIEWS NOW TAKING PLACE."
917,11,0,"OT","0",0,0,"GAIN VALUABLE EXPERIENCE MANAGING A TEAM OF EMPLOYEES, CUSTOMERS AND SUPPLIERS MAJORITY OF HIRING WILL BE COMPLETED BY NOVEMBER.AVERAGE GROSS PRO -FIT $11,287.CALL TRIPLE 'A' STUDENT PAINTERS FOR INFORMATION NOW l-iOO-426-6441"
918,11,0,"OT","0",0,0,"' for'#o!e/^ CANON f'i"
919,11,0,"OT","0",0,0,"W/50 mm f1.4 (new model)"
920,11,0,"OT","0",0,0,"$290 Kevin 542-9680"
921,11,0,"OT","0",0,0,"ENGAGEMENT RING 1/2 CT. RETAIL VALUE $2000, SACRIFICE $1000 473-0802"
922,11,0,"OT","0",0,0,"JVC CAMCORDER S-VHS.8X 200M,7 LUX.CHARACTER GENERATOR.SUPERIMPOSER.CASE AND MANY EXTRAS $675 544-4407"
923,11,0,"OT","0",0,0,"T-SHIRT SALE"
924,11,0,"OT","0",0,0,"DOLPHIN SHIRT CO 757 BUCKLEY SLOT-SHIRTS $3.00 SWEATSHIRTS $6.00 SATURDAY 8:00-1 ;00"
925,11,0,"OT","0",0,0,"87 HONDA SPREE.HELMET INCL. $325 CALL 5450182 LEAVE MESSGE"
926,11,0,"OT","0",0,0,"Suzuki 500C LIKE NEW 660 mi $550 541-0298 eves"
927,11,0,"OT","0",0,0,"MOUNTAIN BIKE"
928,11,0,"OT","0",0,0,"1985 Black Schwin $120 OBO 1989 Trek 360 Road bike 20"" Great Condition $190 OBO Call 549-0154"
929,11,0,"OT","0",0,0,"Automobifes"
930,11,0,"OT","0",0,0,"'81 TOYOTA RUNS GREAT-LOOKS GOOD ONLY $999 CALL:543-3645"
931,11,0,"OT","0",0,0,"1965 Mustang Kenwood Xtras $4500 772-8259"
932,11,0,"OT","0",0,0,"68 Pink VW Bug"
933,11,0,"OT","0",0,0,"$2500 Firm. 543-2460 After ^"
934,11,0,"OT","0",0,0,"Rooi¥imei$0s"
935,11,0,"OT","0",0,0,"$265 OWN ROOM, 3BR 11/2 Ba' APT Stay 1/1 to 8/31 Call 542-0729"
936,11,0,"OT","0",0,0,"2 females needed to share rm in Irg house close to campus 230mo/230dep CALL 545-5916"
937,11,0,"OT","0",0,0,"FEM RMT OWN SM RM.SHARE BATH $200 DNTOWN LOCATION 542-9705"
938,11,0,"OT","0",0,0,"Fern Rmte own Room $260 per mo Avail DEc 15 call 542-9135"
939,11,0,"OT","0",0,0,"Female Roommate nded to share Ig rm 1/2 bath anached 210/mo nice nbrhd Avail 12-12 call Andrea5450724,5410815 Ivmssge"
940,11,0,"OT","0",0,0,"Female roomate needed 2 share close to Poly 235mo 549-0793 Jana or Ariel"
941,11,0,"OT","0",0,0,"Female Roomate Needed Own room in spacious house. Available December 1st $247.50 plus utilities. 541-8728"
942,11,0,"OT","0",0,0,"FEMALE ROOMATES NEEDED to share rm in furnished condo. $225/mo.avail .winter.544-0S72"
943,11,0,"OT","0",0,0,"FMLE RMT NEEDED TO SHRE RM FOR WNTR & SPRG QTR IN TOWNHOUSE 4 BLKS 2 POLY $215/OBO 5445612"
944,11,0,"OT","0",0,0,"FMLE RMT NEEDED 2 SHAR RM CLOSE TO POLY WASHER/DRYER PETS OK 212+DEPOSIT CALL 545-5807"
945,11,0,"OT","0",0,0,"FMLE RMT NEEDED 2 SHR RM COULD BE AVAIL 12/7 $215 545-7851"
946,11,0,"OT","0",0,0,"OWN ROOM $317 WALK TO POLY 3BDR HOUSE FUN RMATES 543-4504"
947,11,0,"OT","0",0,0,"ROOM FOR RENT IN 2BDRM DUPLEX $375,CLOSE TO POLY.CALL DARREL AT 542-9134 - AVAILABLE JANUARY"
948,0,0,"B","0",0,0,
949,11,0,"CT","0",0,0,"\T SMS ON TBt BACyc"
950,11,0,"CT","0",0,0,"or nils RECODO tue"
951,11,0,"CT","0",0,0,"COMUDSER COOED PE^S TUE"
952,11,0,"CT","0",0,0,"^ P1A.N0 ^T A6E tUREE"
953,0,0,"B","0",0,0,
954,0,0,"B","0",0,0,
955,11,0,"CT","0",0,0,".l.s::."
956,11,0,"CT","0",0,0,"HE YIRoTE H\S ElRST STNlPHON'l V4V€N Ht POOR"
957,11,0,"CT","0",0,0,"/"
958,11,0,"CT","0",0,0,"?. M-"
959,11,0,"CT","0",0,0,"TVU^TS"
960,11,0,"CT","0",0,0,"AMA.7JKG"
961,0,0,"B","0",0,0,
962,0,0,"B","0",0,0,
963,0,0,"B","0",0,0,
964,11,0,"CT","0",0,0,"* -L’"
965,11,0,"CT","0",0,0,"1 ii^"
966,11,0,"CT","0",0,0,"V-WEN 1 WAS"
967,11,0,"CT","0",0,0,"I	I"
968,11,0,"CT","0",0,0,"1 WAGTOlVET ^ niAiNEP -"
969,11,0,"OT","0",0,0,"ROOM-FOR-RENT"
970,11,0,"OT","0",0,0,"OWN ROOM/BATH IN APT W/2 EASY GOING MALE STUDENTS 1 BLK TO POLY.FURNISHED.CABLE $325/MO SHARE W/FRIEND-375/MO544-6703"
971,11,0,"OT","0",0,0,"YOUR OWN RM IN NICE 4BR HOUSE NEAR LAG LK. CLEAN CONSID MALE AVAIL 1/1 $265 CALL 545-8607"
972,11,0,"OT","0",0,0,"BerMI Hdùaina"
973,11,0,"OT","0",0,0,"CÖLLE&E ÖÄRden APARTMENTS SPECIAL"
974,11,0,"OT","0",0,0,"X-Large 1 & 2 Bdrms."
975,11,0,"OT","0",0,0,"Super Clean, Close to Poly."
976,11,0,"OT","0",0,0,"Nice Quiet Apt. House QUALITY AT AN AFFORDABLE PRICE $250 OFF FIRST MONTH WITH ANY 11 MO. LEASE RENTAL OFFICE: 284 N. CHORRO (Behind «6) 544-3952"
977,11,0,"OT","0",0,0,"/2-i iIRUík I !t"
978,11,0,"OT","0",0,0,"FURN CONDO 3Fe need 4th 2BR2BA Merwv TV WSH/DRY FRPLC WALK CP $250 375Chorro A 544-8848-Tim"
979,11,0,"OT","0",0,0,"HUGE RM.CLOSE TO POLY, WATER PD, DEC FREE, $317/MO 544-8366"
980,11,0,"OT","0",0,0,"OWN BEDROOM AND BATHROOM 1 BLOCK FROM POLY FURNISHED 295 MO H20 TRASH & CABLE PAID FOR MORE INFO CALL 544-7590"
981,11,0,"OT","0",0,0,"Own rm in large 3+2bath 1 Bik from Poly-Furn,Spa,2yds/Lvg.rm F.place ,wash/Dry.Dishwasher,2 Car gar,Clean,Quiet,Fun, $400+ 1/3util 1891 Hays Jamal 5415522"
982,11,0,"OT","0",0,0,"Own room in cute quiet 2-bedrm townhouse $338/mnth.H20&trshpd Avail. Jan 4 or sooner 5449632"
983,11,0,"OT","0",0,0,"SLO CONDO 2BR END UNIT FIREPLACE 544-3669"
984,11,0,"OT","0",0,0,"Homes"
985,11,0,"OT","0",0,0,"11 BUYING A HOUSE OR CONDO?"
986,11,0,"OT","0",0,0,"For a Free List Of All least Expensive Houses & Condos For Sale In SLO, Call Steve Nelson 543-8370. FARRELL SMYTH R/E."
987,11,0,"OT","0",0,0,"AFFORDABLE SLO HOUSING GREAT FAMILY PARK 2BR OR 3BR ABAIL ASK FOR PRISC AGENT 542-8001"
988,11,0,"OT","0",0,0,"“^‘E you LOOKING FOR A CHARMING 4 BEDRM NEAR POLY? THIS PLUS A FIREPLACE,BEAUTIFUL HDW(X)0 FLR REMODELED COUNTRY KITCHEN W, MT VIEWS ON A HUGE LOT FOR ONLY $294,900 CALL CENTURY 21 TEAM 541-1921 ASK FOR ILONA"
989,11,0,"OT","0",0,0,"• Land for Sale"
990,11,0,"OT","0",0,0,"10 ACRES ALL USABLE SUPER WTR W/MBL/HM STA MARGARITA$198,889 PEGGY-DON P REALTY 544-8050"
991,12,0,"AT","0",0,1,"Purchase One Pair of Glasses at Regular Price... Receive:"
992,12,0,"AT","0",0,1,"FREE 2”“ FRAME"
993,12,0,"AT","0",0,1,"From Selected Stock with Purchase of Lenses"
994,12,0,"AT","0",0,1,"STIGERS"
995,12,0,"AT","0",0,1,"OPTICAL IMAGES"
996,12,0,"AT","0",0,1,"When you care to look your very best 714 Higuera St., San Luis Obispo 544-3364"
997,12,0,"PI","0",0,0,"1 2. Friday, December 6, 1991"
998,12,0,"PI","0",0,0,"Mustang Daily"
999,12,2,"HL","0",0,0,"ASI"
1000,0,0,"B","0",0,0,
1001,0,0,"NA","0",0,0,"J <•’ Ì i I I:	H O I"
1002,12,0,"ME","0",-1,0,"From page 1"
1003,12,2,"TXT","16",0,0,"10,000 students that voted on that day,” said Paul Sahargun, director from the School of Science and Math. “Dr. Baker is going to make a decision. It’s up to us to make sure we get the students’ opinions to him.”"
1004,12,2,"TXT","17",0,0,"Todd Fernandes, director from the School of Agriculture, felt much the same way."
1005,12,2,"TXT","18",0,0,"“I don’t see why we’d want to postpone it,” he said. “Basically, it’s forfeiting our rights to advise"
1006,12,2,"TXT","19",0,0,"him.”"
1007,12,2,"TXT","20",0,0,"Deirdre Flynn, director from the School of Agriculture, added that only one formal complaint was actually valid in objection to the election results because it was the only complaint to be filed within 24 hours of the election results."
1008,12,2,"TXT","21",0,0,"That complaint was of the students’ use of coaches’ telephones."
1009,12,2,"TXT","22",0,0,"Nail felt that some directors were focusing on the outcome of the election rather than looking"
1010,12,2,"TXT","22",0,0,"at the election process which is what they had to vote on."
1011,12,2,"TXT","23",0,0,"“You have to separate your emotions on the outcome of this election,” Nail said."
1012,12,2,"TXT","24",0,0,"Before the final vote. President’s Representative Hazel Scott commended the board on their lengthy discussion."
1013,12,2,"TXT","25",0,0,"“We broke our own record (in number of votes),” Scott reminded the board. “Truly, the student body has spoken.”"
1014,12,0,"AT","0",0,2,"1235 Monterey St. * SLO • 543-8179| BUTTERFLIES"
1015,12,0,"AT","0",0,2,"SUC’-'"
1016,0,0,"B",0,0,0,
1017,0,0,"B",0,0,0,
1018,0,0,"B",0,0,0,
1019,0,0,"B",0,0,0,
1020,0,0,"B",0,0,0,
1021,12,0,"AT","0",0,2,"^-rfv'A^	4509.0^^"
1022,12,0,"AT","0",0,2,"price"
1023,12,0,"AT","0",0,2,"Hug®"
1024,12,0,"AT","0",0,2,"foT"
1025,12,0,"AT","0",0,2,"cg\ecüou"
1026,12,0,"AT","0",0,2,"ot K'd*"
1027,0,0,"B","0",0,0,
1028,12,0,"AT","0",0,2,"se"
1029,12,0,"AT","0",0,2,"Easy"
1030,0,0,"B","0",0,0,
1031,12,0,"AT","0",0,2,"V\au"
1032,12,25,"ME","0",-10,0,"From page 10"
1033,12,25,"TXT","9",0,0,"areas for migrating monarchs."
1034,12,25,"TXT","10",0,0,"Leong said about 300,000 of the colorful insects will spend the winter in the trees along Highway 1, enjoying their protection and the mild climate."
1035,12,25,"TXT","11",0,0,"“The ones born in the winter have a life span of about seven months. They will spend their winter here. Then, as they head north in the spring, they lay eggs along the way and die."
1036,12,25,"TXT","12",0,0,"“The progeny will emerge, mate, lay eggs and leapfrog their way north, generation after generation.” Leong said the summer butterflies live only a month or two."
1037,12,25,"TXT","13",0,0,"The ongoing studies include measurements of wind velocity, relative humidity and temperature at ground level as compared to those at the height of the"
1038,0,0,"B","0",0,0,
1039,12,25,"TXT","13",0,0,"clustered Monarchs in the trees."
1040,12,25,"TXT","14",0,0,"Using a telescopic aluminum pole with monitoring devices attached at the top, researchers can reach up to the level of the tightly-grouped butterflies."
1041,12,25,"TXT","15",0,0,"Identical devices record the same information at ground level. Leong and his students then enter the readings into a portable computer."
1042,12,25,"TXT","16",0,0,"Leong said this data should help determine why butterflies group at certain levels on the trees."
1043,12,25,"TXT","17",0,0,"Also, Leong calculates the height of the clusters to find the range of the groups on the trees."
1044,12,25,"TXT","18",0,0,"Leong said biological sciences professor Dennis Frey, also involved in the studies, catches and tags specimens in the Pismo trees."
1045,12,25,"TXT","19",0,0,"So far, over 1,000 butterflies"
1046,12,25,"TXT","19",0,0,"have been marked. They are painted in one cell of the black, skeleton-like framework of the wings."
1047,12,25,"TXT","20",0,0,"“The tagging is twofold,” Leong said. “One is to see the behavior of the butterflies, to see if they stay here or move to another area. And since we have a coding system, we can tell, for instance, whether males cluster higher than females and how they distribute themselves.”"
1048,12,25,"TXT","21",0,0,"Trails through the tall eucalyptus trees provide visitors with a look at the specimens."
1049,12,25,"TXT","22",0,0,"Orange County resident Mark Adler and his family made a point of stopping to see the butterfly trees."
1050,12,25,"TXT","23",0,0,"“It’s amazing to see so many in one place,” he said. “I thought they hung around backyards all the time.”"
1051,12,0,"AT","0",0,2,"WiiUr-, Tmiu' Is"
1052,12,0,"AT","0",0,2,"-w"
1053,12,0,"AT","0",0,2,"Mount a 1VI	Time"
1054,12,0,"AT","0",0,2,"W f. ________________"
1055,0,0,"B","0",0,0,
1056,0,0,"B","0",0,0,
1057,12,0,"AT","0",0,3,"ATTENTION MEMBERS !!"
1058,12,0,"AT","0",0,3,"!"
1059,12,0,"AT","0",0,3,"oat"
1060,0,0,"B","0",0,0,
1061,0,0,"B","0",0,0,
1062,12,0,"AT","0",0,4,"Bar-B-Q and Deli"
1063,12,0,"AT","0",0,4,"Open	i. ^"
1064,12,0,"AT","0",0,4,"10 a.m. - 8 p.m."
1065,12,0,"AT","0",0,4,"Everyday!!"
1066,0,0,"B","0",0,0,
1067,0,0,"B","0",0,0,
1068,12,0,"AT","0",0,3,"'•'ou need to come oy the booth* for one or more of the following reasons"
1069,12,0,"AT","0",0,3,"•	the $1 0.50 ASI Insurance fee ior the Winter trip (or"
1070,12,0,"AT","0",0,3,"•	Purchase one of the r-OMF 1992 ski calendars (they're hot')"
1071,12,0,"AT","0",0,3,"•	Purchase tickets for the UUEI Warren Miller flick (Fri. and Sat.)"
1072,12,0,"AT","0",0,3,"MANDATORY MEETINGS!!"
1073,12,0,"AT","0",0,3,"Wed. 12/1 1 and Fri. 12/13 8 P.M. CHUAMSH"
1074,12,0,"AT","0",0,3,"*Booth open Mon - Fri 10 to 2 Call 756>SKIS for more information"
1075,12,0,"AT","0",0,4,"Hours: Sun-Wed 7 a.m. - 11 p.m. Thu-Sat 7 a.m. - Midnight"
1076,12,0,"AT","0",0,4,"CORK e BOTTLE SPECIALS"
1077,12,0,"AT","0",0,4,"{ 1/2 Pound Hamburger • $2.49"
1078,12,0,"AT","0",0,4,"I 2 Pieces of Chicken * $2.69"
1079,12,0,"AT","0",0,4,"idojo Potatoes • .85c for 1/2 Ibi"
1080,12,0,"AT","0",0,4,"44 oz. soda * .99C"
1081,12,0,"AT","0",0,4,"L ^	MONTH OF	^ j"
1082,12,0,"AT","0",0,5,"Plant Basket Today...Not"
1083,,,,,,,
1084,,,,,,,
1085,,,,,,,
1086,,,,,,,
1087,,,,,,,
1088,,,,,,,
1089,,,,,,,
1090,,,,,,,
1091,,,,,,,
1092,,,,,,,
1093,,,,,,,
1094,,,,,,,
1095,,,,,,,
1096,,,,,,,
1097,,,,,,,
1098,,,,,,,
1099,,,,,,,
1100,,,,,,,
1101,,,,,,,
1102,,,,,,,
1103,,,,,,,
1104,,,,,,,
1105,,,,,,,
1106,,,,,,,
1107,,,,,,,
1108,,,,,,,
1109,,,,,,,
1110,,,,,,,
1111,,,,,,,
1112,,,,,,,
1113,,,,,,,
1114,,,,,,,
1115,,,,,,,
1116,,,,,,,
1117,,,,,,,
1118,,,,,,,
1119,,,,,,,
1120,,,,,,,
1121,,,,,,,
1122,,,,,,,
1123,,,,,,,
1124,,,,,,,
1125,,,,,,,
1126,,,,,,,
1127,,,,,,,
1128,,,,,,,
1129,,,,,,,
1130,,,,,,,
1131,,,,,,,
1132,,,,,,,
1133,,,,,,,
1134,,,,,,,
1135,,,,,,,
1136,,,,,,,
1137,,,,,,,
1138,,,,,,,
1139,,,,,,,
1140,,,,,,,
1141,,,,,,,
1142,,,,,,,
1143,,,,,,,
1144,,,,,,,
1145,,,,,,,
1146,,,,,,,
1147,,,,,,,
1148,,,,,,,
1149,,,,,,,
1150,,,,,,,
1151,,,,,,,
1152,,,,,,,
1153,,,,,,,
1154,,,,,,,
1155,,,,,,,
1156,,,,,,,
1157,,,,,,,
1158,,,,,,,
1159,,,,,,,
1160,,,,,,,
1161,,,,,,,
1162,,,,,,,
1163,,,,,,,
1164,,,,,,,
1165,,,,,,,
1166,,,,,,,
1167,,,,,,,
1168,,,,,,,
1169,,,,,,,
1170,,,,,,,
1171,,,,,,,
1172,,,,,,,
1173,,,,,,,
1174,,,,,,,
1175,,,,,,,
1176,,,,,,,
1177,,,,,,,
1178,,,,,,,
1179,,,,,,,
1180,,,,,,,
1181,,,,,,,
1182,,,,,,,
1183,,,,,,,
1184,,,,,,,
1185,,,,,,,
1186,,,,,,,
1187,,,,,,,
1188,,,,,,,
1189,,,,,,,
1190,,,,,,,
1191,,,,,,,
1192,,,,,,,
1193,,,,,,,
1194,,,,,,,
1195,,,,,,,
1196,,,,,,,
1197,,,,,,,
1198,,,,,,,
1199,,,,,,,
1200,,,,,,,
